File,Page No,Line No,Headline,Category,Block Headline,Item List Headline,Name,Parameter,Comment,Description,See Also,Source
KSP_Reference_Manual_Fixed.txt.py,259,23366,21. Built-in Variables and Constants,General,,,$CURRENT_SCRIPT_SLOT,,,"This variable returns the script slot of the current script (zero-based, i.e. the first script slot is 0).",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23370,21. Built-in Variables and Constants,General,,,%GROUPS_SELECTED,group-idx,,"Each index of this variable array points to the group with the same index.
If a group is selected for editing, the corresponding array cell contains a 1, otherwise 0.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23375,21. Built-in Variables and Constants,General,,,$NI_ASYNC_EXIT_STATUS,,,"This variable returns a value of 1 if the command that triggered the on async_complete callback
has successfully completed its action. 0 if the command could not complete its action, e.g. file not
found.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23382,21. Built-in Variables and Constants,General,,,$NI_ASYNC_ID,,,This variable returns the ID of the command that triggered the on async_complete callback.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23387,21. Built-in Variables and Constants,General,,,$NI_BUS_OFFSET,,,"This constant is to be used in the <generic> part of the engine parameter commands to point to
the instrument bus level. Add the index of the bus you wish to address, e.g. $NI_BUS_OFFSET + 2
will point to instrument bus 3.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23393,21. Built-in Variables and Constants,General,,,$NUM_GROUPS,,,This variable returns the total amount of groups in an instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23397,21. Built-in Variables and Constants,General,,,$NUM_OUTPUT_CHANNELS,,,"This variable returns the total amount of output channels of the respective Kontakt multi, not
counting Aux channels.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23402,21. Built-in Variables and Constants,General,,,$NUM_ZONES,,,This variable returns the total amount of zones in an instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23406,21. Built-in Variables and Constants,General,,,$PLAYED_VOICES_INST,,,This variable returns the amount of played voices for the current instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23410,21. Built-in Variables and Constants,General,,,$PLAYED_VOICES_TOTAL,,,This variable returns the amount of played voices for all instruments.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23416,21. Built-in Variables and Constants,General,,,$REF_GROUP_IDX,,,This variable returns the group index of the currently viewed group in Kontakt's instrument edit view.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23421,21. Built-in Variables and Constants,General,Path Variables,,$GET_FOLDER_LIBRARY_DIR,,,"If used with a Kontakt Player encoded NKI: library folder.
If used with an unencoded NKI: the user content directory.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23424,21. Built-in Variables and Constants,General,Path Variables,,$GET_FOLDER_FACTORY_DIR,,,"The factory folder of Kontakt, mainly used for loading factory IR samples.
Note: this is not the Kontakt Factory Library folder!",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23427,21. Built-in Variables and Constants,General,Path Variables,,$GET_FOLDER_PATCH_DIR,,,"The directory in which the patch was saved.
If the patch was not saved before, an empty string is returned.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23435,21. Built-in Variables and Constants,General,Time Machine Pro Variables,,$NI_VL_TMPRO_STANDARD,,,"User access for the two voice limits (Standard and High Quality) of the Time Machine Pro, to be
used with set_voice_limit() and get_voice_limit().",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23436,21. Built-in Variables and Constants,General,Time Machine Pro Variables,,$NI_VL_TMPRO_HQ,,,"User access for the two voice limits (Standard and High Quality) of the Time Machine Pro, to be
used with set_voice_limit() and get_voice_limit().",,BUILT-IN
